#Edge cases were chosen for all opcodes + 5 randomly generated test pairs for each opcode. 
#Edge cases are 0x00000000, 0xffffffff, 0x00000001, 0x80000000 for inputs A and B. 
#Edge cases are 00000,11111 for input Sa.
#Randomly generated test pairs for add and subtract operations were selectively chosen for V output 1 and 0. Chose two pairs negatives, two pairs positive, and one pair of positive and negative for a total of five test pairs. 

A[32] 		B[32] 		Op[4] 		Sa[5] 		C[32] 		V[1]
0x00000000	0x80000000	0001		00000	0x80000000		0
0x80000000	0xffffffff	0001		00000	0xffffffff		0
0xffffffff	0x80000000	0001		00000	0x80000000		0
0x80000000	0x00000001	0001		00000	0x00000001		0
0x00000001	0x80000000	0001		00000	0x80000000		0
0x00000001	0x00000001	0001		00000	0x00000001		0
0x80000000	0x80000000	0001		00000	0x80000000		0
446296517	-908593213	0001		00000	-908593213		0
-2095262920	-227033010	0001		00000	-227033010		0
-1703808584	454425339	0001		00000	454425339		0
-1913237027	1491170340	0001		00000	1491170340		0
-1359385242	736388540	0001		00000	736388540		0

#shift left logical, opcode =0001, Sa=31

0x00000000	0x00000000 	0001		11111	0x00000000		0
0x00000000 	0xffffffff	0001		11111	-2147483648		0
0xffffffff 	0x00000000	0001		11111	0x00000000		0
0xffffffff	0xffffffff 	0001		11111	-2147483648		0	
0x00000001 	0x00000000	0001		11111	0x00000000		0
0x00000000	0x00000001	0001		11111	-2147483648		0
0xffffffff	0x00000001	0001		11111	-2147483648		0
0x00000001	0xffffffff	0001		11111	-2147483648		0
0x80000000	0x00000000 	0001		11111	0x00000000		0
0x00000000	0x80000000	0001		11111	0			0
0x80000000	0xffffffff	0001		11111	-2147483648		0
0xffffffff	0x80000000	0001		11111	0			0
0x80000000	0x00000001	0001		11111	-2147483648		0
0x00000001	0x80000000	0001		11111	0			0
0x00000001	0x00000001	0001		11111 	-2147483648		0
0x80000000	0x80000000	0001		11111	0			0
446296517	-908593213	0001		11111	-2147483648		0
-2095262920	-227033010	0001		11111	0			0
-1703808584	454425339	0001		11111	-2147483648		0
-1913237027	1491170340	0001		11111	0			0
-1359385242	736388540	0001		11111	0			0

#add, opcode = 0010, Sa=0 (Sa should be irrelevant)

0x00000000	0x00000000 	0010		00000	0		0
0x00000000 	0xffffffff	0010		00000	0xffffffff	0
0xffffffff 	0x00000000	0010		00000	0xffffffff 	0
0xffffffff	0xffffffff 	0010		00000	-2		0
0x00000001 	0x00000000	0010		00000	1		0
0x00000000	0x00000001	0010		00000	1		0
0xffffffff	0x00000001	0010		00000	0		0
0x00000001	0xffffffff	0010		00000	0		0
0x80000000	0x00000000 	0010		00000	0x80000000	0
0x00000000	0x80000000	0010		00000	0x80000000	0
0x80000000	0xffffffff	0010		00000	2147483647	1
0xffffffff	0x80000000	0010		00000 	2147483647	1
0x80000000	0x00000001	0010		00000	-2147483647	0
0x00000001	0x80000000	0010		00000	-2147483647	0
0x00000001	0x00000001	0010		00000	2		0
0x80000000	0x80000000	0010		00000	0		1
446296517	-908593213	0010		00000	-462296696	0
-2095262920	-227033010	0010		00000	1972671366	1
-1087802774	-951432142	0010		00000	-2039234916	0
13237027	1491170340	0010		00000	1504407367	0
1359385242	936385140	0010		00000	-1999196914	1


#add, opcode = 0010, Sa=31 (Sa should be irrelevant)

0x00000000	0x00000000 	0010		11111	0		0
0x00000000 	0xffffffff	0010		11111	0xffffffff	0
0xffffffff 	0x00000000	0010		11111	0xffffffff 	0
0xffffffff	0xffffffff 	0010		11111	-2		0
0x00000001 	0x00000000	0010		11111	1		0
0x00000000	0x00000001	0010		11111	1		0
0xffffffff	0x00000001	0010		11111	0		0
0x00000001	0xffffffff	0010		11111	0		0
0x80000000	0x00000000 	0010		11111	0x80000000	0
0x00000000	0x80000000	0010		11111	0x80000000	0
0x80000000	0xffffffff	0010		11111	2147483647	1
0xffffffff	0x80000000	0010		11111 	2147483647	1
0x80000000	0x00000001	0010		11111	-2147483647	0
0x00000001	0x80000000	0010		11111	-2147483647	0
0x00000001	0x00000001	0010		11111	2		0
0x80000000	0x80000000	0010		11111	0		1
446296517	-908593213	0010		11111	-462296696	0
-2095262920	-227033010	0010		11111	1972671366	1
-1087802774	-951432142	0010		11111	-2039234916	0
13237027	1491170340	0010		11111	1504407367	0
1359385242	936385140	0010		11111	-1999196914	1

#add, opcode = 0011, Sa=0 (Sa should be irrelevant)

0x00000000	0x00000000 	0011		00000	0		0
0x00000000 	0xffffffff	0011		00000	0xffffffff	0
0xffffffff 	0x00000000	0011		00000	0xffffffff 	0
0xffffffff	0xffffffff 	0011		00000	-2		0
0x00000001 	0x00000000	0011		00000	1		0
0x00000000	0x00000001	0011		00000	1		0
0xffffffff	0x00000001	0011		00000	0		0
0x00000001	0xffffffff	0011		00000	0		0
0x80000000	0x00000000 	0011		00000	0x80000000	0
0x00000000	0x80000000	0011		00000	0x80000000	0
0x80000000	0xffffffff	0011		00000	2147483647	1
0xffffffff	0x80000000	0011		00000 	2147483647	1
0x80000000	0x00000001	0011		00000	-2147483647	0
0x00000001	0x80000000	0011		00000	-2147483647	0
0x00000001	0x00000001	0011		00000	2		0
0x80000000	0x80000000	0011		00000	0		1
446296517	-908593213	0011		00000	-462296696	0
-2095262920	-227033010	0011		00000	1972671366	1
-1087802774	-951432142	0011		00000	-2039234916	0
13237027	1491170340	0011		00000	1504407367	0
1359385242	936385140	0011		00000	-1999196914	1

#add, opcode = 0011, Sa=31 (Sa should be irrelevant)

0x00000000	0x00000000 	0011		11111	0		0
0x00000000 	0xffffffff	0011		11111	0xffffffff	0
0xffffffff 	0x00000000	0011		11111	0xffffffff 	0
0xffffffff	0xffffffff 	0011		11111	-2		0
0x00000001 	0x00000000	0011		11111	1		0
0x00000000	0x00000001	0011		11111	1		0
0xffffffff	0x00000001	0011		11111	0		0
0x00000001	0xffffffff	0011		11111	0		0
0x80000000	0x00000000 	0011		11111	0x80000000	0
0x00000000	0x80000000	0011		11111	0x80000000	0
0x80000000	0xffffffff	0011		11111	2147483647	1
0xffffffff	0x80000000	0011		11111 	2147483647	1
0x80000000	0x00000001	0011		11111	-2147483647	0
0x00000001	0x80000000	0011		11111	-2147483647	0
0x00000001	0x00000001	0011		11111	2		0
0x80000000	0x80000000	0011		11111	0		1
446296517	-908593213	0011		11111	-462296696	0
-2095262920	-227033010	0011		11111	1972671366	1
-1087802774	-951432142	0011		11111	-2039234916	0
13237027	1491170340	0011		11111	1504407367	0
1359385242	936385140	0011		11111	-1999196914	1

#slr, opcode=0100, Sa=0
0x00000000	0x00000000 	0100		00000	0x00000000		0
0x00000000 	0xffffffff	0100		00000	0xffffffff		0
0xffffffff 	0x00000000	0100		00000	0x00000000		0
0xffffffff	0xffffffff 	0100		00000	0xffffffff		0
0x00000001 	0x00000000	0100		00000	0x00000000		0
0x00000000	0x00000001	0100		00000	0x00000001		0
0xffffffff	0x00000001	0100		00000	0x00000001		0
0x00000001	0xffffffff	0100		00000	0xffffffff		0
0x80000000	0x00000000 	0100		00000	0x00000000		0
0x00000000	0x80000000	0100		00000	0x80000000		0
0x80000000	0xffffffff	0100		00000	0xffffffff		0
0xffffffff	0x80000000	0100		00000	0x80000000		0
0x80000000	0x00000001	0100		00000	0x00000001		0
0x00000001	0x80000000	0100		00000	0x80000000		0
0x00000001	0x00000001	0100		00000	0x00000001		0
0x80000000	0x80000000	0100		00000	0x80000000		0
2108462616 	-767772500	0100		00000	-767772500		0
1223525086	1125822199	0100		00000	1125822199		0
-215611994	1592140653	0100		00000	1592140653		0
216423074	873031531	0100		00000	873031531		0
-1999740650	2044392072	0100		00000	2044392072		0


#slr, opcode=0100, Sa=31
0x00000000	0x00000000 	0100		11111	0			0
0x00000000 	0xffffffff	0100		11111	1			0
0xffffffff 	0x00000000	0100		11111	0			0
0xffffffff	0xffffffff 	0100		11111	1			0
0x00000001 	0x00000000	0100		11111	0			0
0x00000000	0x00000001	0100		11111	0			0
0xffffffff	0x00000001	0100		11111	0			0
0x00000001	0xffffffff	0100		11111	1			0
0x80000000	0x00000000 	0100		11111	0			0
0x00000000	0x80000000	0100		11111	1			0
0x80000000	0xffffffff	0100		11111	1			0
0xffffffff	0x80000000	0100		11111	1			0
0x80000000	0x00000001	0100		11111	0			0
0x00000001	0x80000000	0100		11111	1			0
0x00000001	0x00000001	0100		11111	0			0
0x80000000	0x80000000	0100		11111	1			0

#C = B >> Sa, opcode=0101, Sa=0

0x00000000	0x00000000 	0101		00000				0
0x00000000 	0xffffffff	0101		00000				0
0xffffffff 	0x00000000	0101		00000				0
0xffffffff	0xffffffff 	0101		00000				0
0x00000001 	0x00000000	0101		00000				0
0x00000000	0x00000001	0101		00000				0
0xffffffff	0x00000001	0101		00000				0
0x00000001	0xffffffff	0101		00000				0
0x80000000	0x00000000 	0101		00000				0
0x00000000	0x80000000	0101		00000				0
0x80000000	0xffffffff	0101		00000				0
0xffffffff	0x80000000	0101		00000				0
0x00000008	0x00000001	0101		00000				0
0x00000001	0x00000008	0101		00000				0
0x00000001	0x00000001	0101		00000				0
0x00000008	0x00000008	0101		00000				0

#C = B >> Sa, opcode=0101, Sa=31

0x00000000	0x00000000 	0101		11111				0
0x00000000 	0xffffffff	0101		11111				0
0xffffffff 	0x00000000	0101		11111				0
0xffffffff	0xffffffff 	0101		11111				0
0x00000001 	0x00000000	0101		11111				0
0x00000000	0x00000001	0101		11111				0
0xffffffff	0x00000001	0101		11111				0
0x00000001	0xffffffff	0101		11111				0
0x80000000	0x00000000 	0101		11111				0
0x00000000	0x80000000	0101		11111				0
0x80000000	0xffffffff	0101		11111				0
0xffffffff	0x80000000	0101		11111				0
0x00000008	0x00000001	0101		11111				0
0x00000001	0x00000008	0101		11111				0
0x00000001	0x00000001	0101		11111				0
0x00000008	0x00000008	0101		11111				0

#C = A - B, opcode = 0110, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	0110		00000		0		0
0x00000000 	0xffffffff	0110		00000		1		0
0xffffffff 	0x00000000	0110		00000		-1		0
0xffffffff	0xffffffff 	0110		00000		0		0
0x00000001 	0x00000000	0110		00000		1		0
0x00000000	0x00000001	0110		00000		-1		0
0xffffffff	0x00000001	0110		00000		-2		0
0x00000001	0xffffffff	0110		00000		2		0
0x80000000	0x00000000 	0110		00000		0x80000000	0
0x00000000	0x80000000	0110		00000		0x80000000	1
0x80000000	0xffffffff	0110		00000		-2147483647	0
0xffffffff	0x80000000	0110		00000		2147483647	0
0x80000000	0x00000001	0110		00000		2147483647	1
0x00000001	0x80000000	0110		00000		-2147483647	1
0x00000001	0x00000001	0110		00000		0		0
0x80000000	0x80000000	0110		00000		0		0
576900312	1458437737	0110		00000		-881537425	0
-1218972787	1937911776	0110		00000		1138082733	1
805540675	625975317	0110		00000		179565358	0
-1352315963	-1841783837	0110		00000		489467874	0
-1142817363	-914738681	0110		00000		-228078682	0	

#C = A - B, opcode = 0110, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	0110		11111		0		0
0x00000000 	0xffffffff	0110		11111		1		0
0xffffffff 	0x00000000	0110		11111		-1		0
0xffffffff	0xffffffff 	0110		11111		0		0
0x00000001 	0x00000000	0110		11111		1		0
0x00000000	0x00000001	0110		11111		-1		0
0xffffffff	0x00000001	0110		11111		-2		0
0x00000001	0xffffffff	0110		11111		2		0
0x80000000	0x00000000 	0110		11111		0x80000000	0
0x00000000	0x80000000	0110		11111		0x80000000	1
0x80000000	0xffffffff	0110		11111		-2147483647	0
0xffffffff	0x80000000	0110		11111		2147483647	0
0x80000000	0x00000001	0110		11111		2147483647	1
0x00000001	0x80000000	0110		11111		-2147483647	1
0x00000001	0x00000001	0110		11111		0		0
0x80000000	0x80000000	0110		11111		0		0
576900312	1458437737	0110		11111		-881537425	0
-1218972787	1937911776	0110		11111		1138082733	1
805540675	625975317	0110		11111		179565358	0
-1352315963	-1841783837	0110		11111		489467874	0
-1142817363	-914738681	0110		11111		-228078682	0

#C = A - B, opcode = 0111, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	0111		00000		0		0
0x00000000 	0xffffffff	0111		00000		1		0
0xffffffff 	0x00000000	0111		00000		-1		0
0xffffffff	0xffffffff 	0111		00000		0		0
0x00000001 	0x00000000	0111		00000		1		0
0x00000000	0x00000001	0111		00000		-1		0
0xffffffff	0x00000001	0111		00000		-2		0
0x00000001	0xffffffff	0111		00000		2		0
0x80000000	0x00000000 	0111		00000		0x80000000	0
0x00000000	0x80000000	0111		00000		0x80000000	1
0x80000000	0xffffffff	0111		00000		-2147483647	0
0xffffffff	0x80000000	0111		00000		2147483647	0
0x80000000	0x00000001	0111		00000		2147483647	1
0x00000001	0x80000000	0111		00000		-2147483647	1
0x00000001	0x00000001	0111		00000		0		0
0x80000000	0x80000000	0111		00000		0		0
576900312	1458437737	0111		00000		-881537425	0
-1218972787	1937911776	0111		00000		1138082733	1
805540675	625975317	0111		00000		179565358	0
-1352315963	-1841783837	0111		00000		489467874	0
-1142817363	-914738681	0111		00000		-228078682	0

#C = A - B, opcode = 0111, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	0111		11111		0		0
0x00000000 	0xffffffff	0111		11111		1		0
0xffffffff 	0x00000000	0111		11111		-1		0
0xffffffff	0xffffffff 	0111		11111		0		0
0x00000001 	0x00000000	0111		11111		1		0
0x00000000	0x00000001	0111		11111		-1		0
0xffffffff	0x00000001	0111		11111		-2		0
0x00000001	0xffffffff	0111		11111		2		0
0x80000000	0x00000000 	0111		11111		0x80000000	0
0x00000000	0x80000000	0111		11111		0x80000000	1
0x80000000	0xffffffff	0111		11111		-2147483647	0
0xffffffff	0x80000000	0111		11111		2147483647	0
0x80000000	0x00000001	0111		11111		2147483647	1
0x00000001	0x80000000	0111		11111		-2147483647	1
0x00000001	0x00000001	0111		11111		0		0
0x80000000	0x80000000	0111		11111		0		0
576900312	1458437737	0111		11111		-881537425	0
-1218972787	1937911776	0111		11111		1138082733	1
805540675	625975317	0111		11111		179565358	0
-1352315963	-1841783837	0111		11111		489467874	0
-1142817363	-914738681	0111		11111		-228078682	0

#C = A | B,  opcode = 1010, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1010		00000		0		0
0x00000000 	0xffffffff	1010		00000		0xffffffff	0
0xffffffff 	0x00000000	1010		00000		0xffffffff	0
0xffffffff	0xffffffff 	1010		00000		0xffffffff	0
0x00000001 	0x00000000	1010		00000		0x00000001	0
0x00000000	0x00000001	1010		00000		0x00000001	0
0xffffffff	0x00000001	1010		00000		0xffffffff	0
0x00000001	0xffffffff	1010		00000		0xffffffff	0
0x80000000	0x00000000 	1010		00000		0x80000000	0
0x00000000	0x80000000	1010		00000		0x80000000	0
0x80000000	0xffffffff	1010		00000		0xffffffff	0
0xffffffff	0x80000000	1010		00000		0xffffffff	0
0x80000000	0x00000001	1010		00000		0x80000001	0
0x00000001	0x80000000	1010		00000		0x80000001	0
0x00000001	0x00000001	1010		00000		0x00000001	0
0x80000000	0x80000000	1010		00000		0x80000000	0
895131980	-1182486991	1010		00000		-1109479555	0	
-362104446	-39721097	1010		00000		-1310729	0
-913389777	-2042628436	1010		00000		-809502801	0
-1203703946	288869118	1010		00000		-1183322114	0
38111127	816922604	1010		00000		854966271	0

#C = A | B,  opcode = 1010, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1010		11111		0		0
0x00000000 	0xffffffff	1010		11111		0xffffffff	0
0xffffffff 	0x00000000	1010		11111		0xffffffff	0
0xffffffff	0xffffffff 	1010		11111		0xffffffff	0
0x00000001 	0x00000000	1010		11111		0x00000001	0
0x00000000	0x00000001	1010		11111		0x00000001	0
0xffffffff	0x00000001	1010		11111		0xffffffff	0
0x00000001	0xffffffff	1010		11111		0xffffffff	0
0x80000000	0x00000000 	1010		11111		0x80000000	0
0x00000000	0x80000000	1010		11111		0x80000000	0
0x80000000	0xffffffff	1010		11111		0xffffffff	0
0xffffffff	0x80000000	1010		11111		0xffffffff	0
0x80000000	0x00000001	1010		11111		0x80000001	0
0x00000001	0x80000000	1010		11111		0x80000001	0
0x00000001	0x00000001	1010		11111		0x00000001	0
0x80000000	0x80000000	1010		11111		0x80000000	0
895131980	-1182486991	1010		11111		-1109479555	0	
-362104446	-39721097	1010		11111		-1310729	0
-913389777	-2042628436	1010		11111		-809502801	0
-1203703946	288869118	1010		11111		-1183322114	0
38111127	816922604	1010		11111		854966271	0

#C = A & B,  opcode = 1000, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1000		00000		0		0
0x00000000 	0xffffffff	1000		00000		0		0
0xffffffff 	0x00000000	1000		00000		0		0
0xffffffff	0xffffffff 	1000		00000		0xffffffff 	0
0x00000001 	0x00000000	1000		00000		0		0
0x00000000	0x00000001	1000		00000		0		0
0xffffffff	0x00000001	1000		00000		0x00000001	0
0x00000001	0xffffffff	1000		00000		0x00000001	0
0x80000000	0x00000000 	1000		00000		0		0
0x00000000	0x80000000	1000		00000		0		0
0x80000000	0xffffffff	1000		00000		0x80000000 	0
0xffffffff	0x80000000	1000		00000		0x80000000	0
0x80000000	0x00000001	1000		00000		0		0
0x00000001	0x80000000	1000		00000		0		0
0x00000001	0x00000001	1000		00000		0x00000001	0
0x80000000	0x80000000	1000		00000		0x80000000	0
1984197121	-98012160	1000		00000		1912631296	0
-1721698778	-1850689279	1000		00000		-1860128768	0
1209326233	1245324304	1000		00000		1209008144	0
-1548009991	828211695	1000		00000		555287017	0
-39463612	-316704306	1000		00000		-318418620	0

#C = A & B,  opcode = 1000, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1000		11111		0		0
0x00000000 	0xffffffff	1000		11111		0		0
0xffffffff 	0x00000000	1000		11111		0		0
0xffffffff	0xffffffff 	1000		11111		0xffffffff 	0
0x00000001 	0x00000000	1000		11111		0		0
0x00000000	0x00000001	1000		11111		0		0
0xffffffff	0x00000001	1000		11111		0x00000001	0
0x00000001	0xffffffff	1000		11111		0x00000001	0
0x80000000	0x00000000 	1000		11111		0		0
0x00000000	0x80000000	1000		11111		0		0
0x80000000	0xffffffff	1000		11111		0x80000000 	0
0xffffffff	0x80000000	1000		11111		0x80000000	0
0x80000000	0x00000001	1000		11111		0		0
0x00000001	0x80000000	1000		11111		0		0
0x00000001	0x00000001	1000		11111		0x00000001	0
0x80000000	0x80000000	1000		11111		0x80000000	0
1984197121	-98012160	1000		11111		1912631296	0
-1721698778	-1850689279	1000		11111		-1860128768	0
1209326233	1245324304	1000		11111		1209008144	0
-1548009991	828211695	1000		11111		555287017	0
-39463612	-316704306	1000		11111		-318418620	0

#C = A ^ B,  opcode = 1100, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1100		00000		0		0
0x00000000 	0xffffffff	1100		00000		0xffffffff	0
0xffffffff 	0x00000000	1100		00000		0xffffffff	0
0xffffffff	0xffffffff 	1100		00000		0		0
0x00000001 	0x00000000	1100		00000		0x00000001 	0
0x00000000	0x00000001	1100		00000		0x00000001 	0
0xffffffff	0x00000001	1100		00000		0xfffffffe	0
0x00000001	0xffffffff	1100		00000		0xfffffffe	0
0x80000000	0x00000000 	1100		00000		0x80000000	0
0x00000000	0x80000000	1100		00000		0x80000000	0
0x80000000	0xffffffff	1100		00000		0x7fffffff	0
0xffffffff	0x80000000	1100		00000		0x7fffffff	0
0x80000000	0x00000001	1100		00000		-2147483647	0
0x00000001	0x80000000	1100		00000		-2147483647	0
0x00000001	0x00000001	1100		00000		0		0
0x80000000	0x80000000	1100		00000		0		0
283372429	-336684947	1100		00000		-83004448	0
-527867722	-467916598	1100		00000		76892284	0
-1915156824	1871690534	1100		00000		-497631858	0
-1135980330	-661300709	1100		00000		1692338893	0
1138918010	315299227	1100		00000		1361680353	0

#C = A ^ B,  opcode = 1100, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1100		11111		0		0
0x00000000 	0xffffffff	1100		11111		0xffffffff	0
0xffffffff 	0x00000000	1100		11111		0xffffffff	0
0xffffffff	0xffffffff 	1100		11111		0		0
0x00000001 	0x00000000	1100		11111		0x00000001 	0
0x00000000	0x00000001	1100		11111		0x00000001 	0
0xffffffff	0x00000001	1100		11111		0xfffffffe	0
0x00000001	0xffffffff	1100		11111		0xfffffffe	0
0x80000000	0x00000000 	1100		11111		0x80000000	0
0x00000000	0x80000000	1100		11111		0x80000000	0
0x80000000	0xffffffff	1100		11111		0x7fffffff	0
0xffffffff	0x80000000	1100		11111		0x7fffffff	0
0x80000000	0x00000001	1100		11111		-2147483647	0
0x00000001	0x80000000	1100		11111		-2147483647	0
0x00000001	0x00000001	1100		11111		0		0
0x80000000	0x80000000	1100		11111		0		0
283372429	-336684947	1100		11111		-83004448	0
-527867722	-467916598	1100		11111		76892284	0
-1915156824	1871690534	1100		11111		-497631858	0
-1135980330	-661300709	1100		11111		1692338893	0
1138918010	315299227	1100		11111		1361680353	0

#C = ~(A | B),  opcode = 1110, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1110		00000		0xffffffff	0
0x00000000 	0xffffffff	1110		00000		0		0
0xffffffff 	0x00000000	1110		00000		0		0
0xffffffff	0xffffffff 	1110		00000		0		0
0x00000001 	0x00000000	1110		00000		0xfffffffe	0
0x00000000	0x00000001	1110		00000		-2		0
0xffffffff	0x00000001	1110		00000		0		0
0x00000001	0xffffffff	1110		00000		0		0
0x80000000	0x00000000 	1110		00000		2147483647	0
0x00000000	0x80000000	1110		00000		2147483647	0
0x80000000	0xffffffff	1110		00000		0		0
0xffffffff	0x80000000	1110		00000		0		0
0x80000000	0x00000001	1110		00000		2147483646	0
0x00000001	0x80000000	1110		00000		2147483646	0
0x00000001	0x00000001	1110		00000		-2		0
0x80000000	0x80000000	1110		00000		2147483647	0
920949387	-1089004392	1110		00000		1074291044	0
-1632274492	1207059671	1110		00000		537430056	0
-1936321465	-1300405243	1110		00000	 	1090554808	0
619847053	-103406411	1110		00000		34193986	0
1809837783	1013952516	1110		00000		-2147483352	0


#C = ~(A | B),  opcode = 1110, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1110		11111		0xffffffff	0
0x00000000 	0xffffffff	1110		11111		0		0
0xffffffff 	0x00000000	1110		11111		0		0
0xffffffff	0xffffffff 	1110		11111		0		0
0x00000001 	0x00000000	1110		11111		0xfffffffe	0
0x00000000	0x00000001	1110		11111		-2		0
0xffffffff	0x00000001	1110		11111		0		0
0x00000001	0xffffffff	1110		11111		0		0
0x80000000	0x00000000 	1110		11111		2147483647	0
0x00000000	0x80000000	1110		11111		2147483647	0
0x80000000	0xffffffff	1110		11111		0		0
0xffffffff	0x80000000	1110		11111		0		0
0x80000000	0x00000001	1110		11111		2147483646	0
0x00000001	0x80000000	1110		11111		2147483646	0
0x00000001	0x00000001	1110		11111		-2		0
0x80000000	0x80000000	1110		11111		2147483647	0
920949387	-1089004392	1110		11111		1074291044	0
-1632274492	1207059671	1110		11111		537430056	0
-1936321465	-1300405243	1110		11111	 	1090554808	0
619847053	-103406411	1110		11111		34193986	0
1809837783	1013952516	1110		11111		-2147483352	0

#C = (A != B),  opcode = 1011, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1011		00000				0
0x00000000 	0xffffffff	1011		00000				0
0xffffffff 	0x00000000	1011		00000				0
0xffffffff	0xffffffff 	1011		00000				0
0x00000001 	0x00000000	1011		00000				0
0x00000000	0x00000001	1011		00000				0
0xffffffff	0x00000001	1011		00000				0
0x00000001	0xffffffff	1011		00000				0
0x80000000	0x00000000 	1011		00000				0
0x00000000	0x80000000	1011		00000				0
0x80000000	0xffffffff	1011		00000				0
0xffffffff	0x80000000	1011		00000				0
0x00000008	0x00000001	1011		00000				0
0x00000001	0x00000008	1011		00000				0
0x00000001	0x00000001	1011		00000				0
0x00000008	0x00000008	1011		00000				0

#C = (A != B),  opcode = 1011, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1011		11111				0
0x00000000 	0xffffffff	1011		11111				0
0xffffffff 	0x00000000	1011		11111				0
0xffffffff	0xffffffff 	1011		11111				0
0x00000001 	0x00000000	1011		11111				0
0x00000000	0x00000001	1011		11111				0
0xffffffff	0x00000001	1011		11111				0
0x00000001	0xffffffff	1011		11111				0
0x80000000	0x00000000 	1011		11111				0
0x00000000	0x80000000	1011		11111				0
0x80000000	0xffffffff	1011		11111				0
0xffffffff	0x80000000	1011		11111				0
0x00000008	0x00000001	1011		11111				0
0x00000001	0x00000008	1011		11111				0
0x00000001	0x00000001	1011		11111				0
0x00000008	0x00000008	1011		11111				0

